link,Data-Name,data type,default task,attribute-type,instances,attributes,year
https://archive.ics.uci.edu/ml/datasets/Amazon+Access+Samples,Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",,30000,20000,2011
https://archive.ics.uci.edu/ml/datasets/Reuter_50_50,Reuter_50_50,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,2500,10000,2011
https://archive.ics.uci.edu/ml/datasets/Farm+Ads,Farm Ads,Text,Classification,,4143,54877,2011
https://archive.ics.uci.edu/ml/datasets/DBWorld+e-mails,DBWorld e-mails,Text,Classification,,64,4702,2011
https://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Relation+Network+%28Directed%29,KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",53414,24,2011
https://archive.ics.uci.edu/ml/datasets/KEGG+Metabolic+Reaction+Network+%28Undirected%29,KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",65554,29,2011
https://archive.ics.uci.edu/ml/datasets/Bank+Marketing,Bank Marketing,Multivariate,Classification,Real,45211,17,2012
https://archive.ics.uci.edu/ml/datasets/YouTube+Comedy+Slam+Preference+Data,YouTube Comedy Slam Preference Data,Text,Classification,,1138562,3,2012
https://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128,2012
https://archive.ics.uci.edu/ml/datasets/ILPD+%28Indian+Liver+Patient+Dataset%29,ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10,2012
https://archive.ics.uci.edu/ml/datasets/OPPORTUNITY+Activity+Recognition,OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,242,2012
https://archive.ics.uci.edu/ml/datasets/Nomao,Nomao,Univariate,Classification,Real,34465,120,2012
https://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection,SMS Spam Collection,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,5574,,2012
https://archive.ics.uci.edu/ml/datasets/Skin+Segmentation,Skin Segmentation,Univariate,Classification,Real,245057,4,2012
https://archive.ics.uci.edu/ml/datasets/Planning+Relax,Planning Relax,Univariate,Classification,Real,182,13,2012
https://archive.ics.uci.edu/ml/datasets/PAMAP2+Physical+Activity+Monitoring,PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,52,2012
https://archive.ics.uci.edu/ml/datasets/Restaurant+%26+consumer+data,Restaurant & consumer data,Multivariate,,,138,47,2012
https://archive.ics.uci.edu/ml/datasets/CNAE-9,CNAE-9,"Multivariate, Text",Classification,Integer,1080,857,2012
https://archive.ics.uci.edu/ml/datasets/Individual+household+electric+power+consumption,Individual household electric power consumption,"Multivariate, Time-Series","Regression, Clustering",Real,2075259,9,2012
https://archive.ics.uci.edu/ml/datasets/seeds,seeds,Multivariate,"Classification, Clustering",Real,210,7,2012
https://archive.ics.uci.edu/ml/datasets/Northix,Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200,2012
https://archive.ics.uci.edu/ml/datasets/QtyT40I10D100K,QtyT40I10D100K,Sequential,Integer,,3960456,4,2012
https://archive.ics.uci.edu/ml/datasets/Legal+Case+Reports,Legal Case Reports,Text,Classification,,,,2012
https://archive.ics.uci.edu/ml/datasets/Human+Activity+Recognition+Using+Smartphones,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",,10299,561,2012
https://archive.ics.uci.edu/ml/datasets/One-hundred+plant+species+leaves+data+set,One-hundred plant species leaves data set,Classification,Real,,1600,64,2012
https://archive.ics.uci.edu/ml/datasets/Energy+efficiency,Energy efficiency,Multivariate,"Classification, Regression","Integer, Real",768,8,2012
https://archive.ics.uci.edu/ml/datasets/Yacht+Hydrodynamics,Yacht Hydrodynamics,Multivariate,Regression,Real,308,7,2013
https://archive.ics.uci.edu/ml/datasets/Fertility,Fertility,Multivariate,"Classification, Regression",Real,100,10,2013
https://archive.ics.uci.edu/ml/datasets/Daphnet+Freezing+of+Gait,Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9,2013
https://archive.ics.uci.edu/ml/datasets/3D+Road+Network+%28North+Jutland%2C+Denmark%29,"3D Road Network (North Jutland, Denmark)","Sequential, Text","Regression, Clustering",Real,434874,4,2013
https://archive.ics.uci.edu/ml/datasets/ISTANBUL+STOCK+EXCHANGE,ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series","Classification, Regression",Real,536,8,2013
https://archive.ics.uci.edu/ml/datasets/Buzz+in+social+media+,Buzz in social media,"Time-Series, Multivariate","Regression, Classification","Integer, Real",140000,77,2013
https://archive.ics.uci.edu/ml/datasets/First-order+theorem+proving,First-order theorem proving,Multivariate,Classification,Real,6118,51,2013
https://archive.ics.uci.edu/ml/datasets/Wearable+Computing%3A+Classification+of+Body+Postures+and+Movements+%28PUC-Rio%29,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",165632,18,2013
https://archive.ics.uci.edu/ml/datasets/Gas+sensor+arrays+in+open+sampling+settings,Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000,1950000,2013
https://archive.ics.uci.edu/ml/datasets/Climate+Model+Simulation+Crashes,Climate Model Simulation Crashes,Multivariate,Classification,Real,540,18,2013
https://archive.ics.uci.edu/ml/datasets/MicroMass,MicroMass,Multivariate,Classification,Real,931,1300,2013
https://archive.ics.uci.edu/ml/datasets/QSAR+biodegradation,QSAR biodegradation,Multivariate,Classification,"Integer, Real",1055,41,2013
https://archive.ics.uci.edu/ml/datasets/BLOGGER,BLOGGER,Multivariate,Classification,,100,6,2013
https://archive.ics.uci.edu/ml/datasets/Daily+and+Sports+Activities,Daily and Sports Activities,"Multivariate, Time-Series","Classification, Clustering",Real,9120,5625,2013
https://archive.ics.uci.edu/ml/datasets/User+Knowledge+Modeling,User Knowledge Modeling,Multivariate,"Classification, Clustering",Integer,403,5,2013
https://archive.ics.uci.edu/ml/datasets/Reuters+RCV1+RCV2+Multilingual%2C+Multiview+Text+Categorization+Test+collection,"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate,Classification,Real,111740,,2013
https://archive.ics.uci.edu/ml/datasets/NYSK,NYSK,"Multivariate, Sequential, Text",Clustering,,10421,7,2013
https://archive.ics.uci.edu/ml/datasets/Turkiye+Student+Evaluation,Turkiye Student Evaluation,Multivariate,"Classification, Clustering",,5820,33,2013
https://archive.ics.uci.edu/ml/datasets/ser+Knowledge+Modeling+Data+%28Students%27+Knowledge+Levels+on+DC+Electrical+Machines%29,ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate,Classification,Real,403,5,2013
https://archive.ics.uci.edu/ml/datasets/EEG+Eye+State,EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980,15,2013
https://archive.ics.uci.edu/ml/datasets/Physicochemical+Properties+of+Protein+Tertiary+Structure,Physicochemical Properties of Protein Tertiary Structure,Multivariate,Regression,Real,45730,9,2013
https://archive.ics.uci.edu/ml/datasets/seismic-bumps,seismic-bumps,Multivariate,Classification,Real,2584,19,2013
https://archive.ics.uci.edu/ml/datasets/banknote+authentication,banknote authentication,Multivariate,Classification,Real,1372,5,2013
https://archive.ics.uci.edu/ml/datasets/USPTO+Algorithm+Challenge%2C+run+by+NASA-Harvard+Tournament+Lab+and+TopCoder++++Problem%3A+Pat,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat",Domain-Theory,Classification,Integer,306,5,2013
https://archive.ics.uci.edu/ml/datasets/YouTube+Multiview+Video+Games+Dataset,YouTube Multiview Video Games Dataset,"Multivariate, Text","Classification, Clustering","Integer, Real",120000,1000000,2013
https://archive.ics.uci.edu/ml/datasets/Gas+Sensor+Array+Drift+Dataset+at+Different+Concentrations,Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",Real,13910,129,2013
https://archive.ics.uci.edu/ml/datasets/Activities+of+Daily+Living+%28ADLs%29+Recognition+Using+Binary+Sensors,Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series","Classification, Clustering",,2747,,2013
https://archive.ics.uci.edu/ml/datasets/SkillCraft1+Master+Table+Dataset,SkillCraft1 Master Table Dataset,Multivariate,Regression,"Integer, Real",3395,20,2013
https://archive.ics.uci.edu/ml/datasets/Weight+Lifting+Exercises+monitored+with+Inertial+Measurement+Units,Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate,Classification,Real,39242,152,2013
https://archive.ics.uci.edu/ml/datasets/SML2010,SML2010,"Multivariate, Sequential, Time-Series, Text",Regression,Real,4137,24,2014
https://archive.ics.uci.edu/ml/datasets/Bike+Sharing+Dataset,Bike Sharing Dataset,Univariate,Regression,"Integer, Real",17389,16,2013
https://archive.ics.uci.edu/ml/datasets/Predict+keywords+activities+in+a+online+social+media,Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series","Integer, Real",,51,35,2013
https://archive.ics.uci.edu/ml/datasets/Thoracic+Surgery+Data,Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470,17,2013
https://archive.ics.uci.edu/ml/datasets/EMG+dataset+in+Lower+Limb,EMG dataset in Lower Limb,"Multivariate, Time-Series",Real,,132,5,2014
https://archive.ics.uci.edu/ml/datasets/SUSY,SUSY,Classification,Real,,5000000,18,2014
https://archive.ics.uci.edu/ml/datasets/HIGGS,HIGGS,Classification,Real,,11000000,28,2014
https://archive.ics.uci.edu/ml/datasets/Qualitative_Bankruptcy,Qualitative_Bankruptcy,Multivariate,Classification,,250,7,2014
https://archive.ics.uci.edu/ml/datasets/LSVT+Voice+Rehabilitation,LSVT Voice Rehabilitation,Multivariate,Classification,Real,126,309,2014
https://archive.ics.uci.edu/ml/datasets/Dataset+for+ADL+Recognition+with+Wrist-worn+Accelerometer,Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series","Classification, Clustering",,,3,2014
https://archive.ics.uci.edu/ml/datasets/Wilt,Wilt,Multivariate,Classification,,4889,6,2014
https://archive.ics.uci.edu/ml/datasets/User+Identification+From+Walking+Activity,User Identification From Walking Activity,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014
https://archive.ics.uci.edu/ml/datasets/Activity+Recognition+from+Single+Chest-Mounted+Accelerometer,Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014
https://archive.ics.uci.edu/ml/datasets/Leaf,Leaf,Multivariate,Classification,Real,340,16,2014
https://archive.ics.uci.edu/ml/datasets/Dresses_Attribute_Sales,Dresses_Attribute_Sales,Text,"Classification, Clustering",,501,13,2014
https://archive.ics.uci.edu/ml/datasets/Tamilnadu+Electricity+Board+Hourly+Readings,Tamilnadu Electricity Board Hourly Readings,Multivariate,"Classification, Regression, Clustering",Real,45781,5,2013
https://archive.ics.uci.edu/ml/datasets/Airfoil+Self-Noise,Airfoil Self-Noise,Multivariate,Regression,Real,1503,6,2014
https://archive.ics.uci.edu/ml/datasets/Wholesale+customers,Wholesale customers,Multivariate,"Classification, Clustering",Integer,440,8,2014
https://archive.ics.uci.edu/ml/datasets/Twitter+Data+set+for+Arabic+Sentiment+Analysis,Twitter Data set for Arabic Sentiment Analysis,Text,Classification,,2000,2,2014
https://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant,Combined Cycle Power Plant,Multivariate,Regression,Real,9568,4,2014
https://archive.ics.uci.edu/ml/datasets/Urban+Land+Cover,Urban Land Cover,Multivariate,Classification,,168,148,2014
https://archive.ics.uci.edu/ml/datasets/Diabetes+130-US+hospitals+for+years+1999-2008,Diabetes 130-US hospitals for years 1999-2008,Multivariate,"Classification, Clustering",Integer,100000,55,2014
https://archive.ics.uci.edu/ml/datasets/Bach+Choral+Harmony,Bach Choral Harmony,Sequential,Classification,,5665,17,2014
https://archive.ics.uci.edu/ml/datasets/StoneFlakes,StoneFlakes,Multivariate,"Classification, Clustering, Causal-Discovery",Real,79,8,2014
https://archive.ics.uci.edu/ml/datasets/Tennis+Major+Tournament+Match+Statistics,Tennis Major Tournament Match Statistics,Multivariate,"Classification, Regression, Clustering","Integer, Real",127,42,2014
https://archive.ics.uci.edu/ml/datasets/Parkinson+Speech+Dataset+with++Multiple+Types+of+Sound+Recordings,Parkinson Speech Dataset with  Multiple Types of Sound Recordings,Multivariate,"Classification, Regression","Integer, Real",1040,26,2014
https://archive.ics.uci.edu/ml/datasets/Gesture+Phase+Segmentation,Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Real,9900,50,2014
https://archive.ics.uci.edu/ml/datasets/Perfume+Data,Perfume Data,"Univariate, Domain-Theory","Classification, Clustering",Integer,560,2,2014
https://archive.ics.uci.edu/ml/datasets/BlogFeedback,BlogFeedback,Multivariate,Regression,"Integer, Real",60021,281,2014
https://archive.ics.uci.edu/ml/datasets/REALDISP+Activity+Recognition+Dataset,REALDISP Activity Recognition Dataset,"Multivariate, Time-Series",Classification,Real,1419,120,2014
https://archive.ics.uci.edu/ml/datasets/Newspaper+and+magazine+images+segmentation+dataset,Newspaper and magazine images segmentation dataset,Classification,,,,101,2014
https://archive.ics.uci.edu/ml/datasets/AAAI+2014+Accepted+Papers,AAAI 2014 Accepted Papers,Multivariate,Clustering,,399,6,2014
https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+flow+modulation,Gas sensor array under flow modulation,"Multivariate, Time-Series","Classification, Regression",Real,58,120432,2014
https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+exposed+to+turbulent+gas+mixtures,Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,180,150000,2014
https://archive.ics.uci.edu/ml/datasets/UJIIndoorLoc,UJIIndoorLoc,Multivariate,"Classification, Regression","Integer, Real",21048,529,2014
https://archive.ics.uci.edu/ml/datasets/Sentence+Classification,Sentence Classification,Text,Classification,Integer,,,2014
https://archive.ics.uci.edu/ml/datasets/Dow+Jones+Index,Dow Jones Index,Time-Series,"Classification, Clustering","Integer, Real",750,16,2014
https://archive.ics.uci.edu/ml/datasets/sEMG+for+Basic+Hand+movements,sEMG for Basic Hand movements,Time-Series,Classification,Real,3000,2500,2014
https://archive.ics.uci.edu/ml/datasets/AAAI+2013+Accepted+Papers,AAAI 2013 Accepted Papers,Multivariate,Clustering,,150,5,2014
https://archive.ics.uci.edu/ml/datasets/Geographical+Original+of+Music,Geographical Original of Music,Multivariate,"Classification, Regression",Real,1059,68,2014
https://archive.ics.uci.edu/ml/datasets/Condition+Based+Maintenance+of+Naval+Propulsion+Plants,Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,11934,16,2014
https://archive.ics.uci.edu/ml/datasets/Grammatical+Facial+Expressions,Grammatical Facial Expressions,"Multivariate, Sequential","Classification, Clustering",Real,27965,100,2014
https://archive.ics.uci.edu/ml/datasets/NoisyOffice,NoisyOffice,Multivariate,"Classification, Regression",Real,216,216,2015
https://archive.ics.uci.edu/ml/datasets/MHEALTH+Dataset,MHEALTH Dataset,"Multivariate, Time-Series",Classification,Real,120,23,2014
https://archive.ics.uci.edu/ml/datasets/Student+Performance,Student Performance,Multivariate,"Classification, Regression",Integer,649,33,2014
https://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014,ElectricityLoadDiagrams20112014,Time-Series,"Regression, Clustering",Real,370,140256,2015
https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+dynamic+gas+mixtures,Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,4178504,19,2015
https://archive.ics.uci.edu/ml/datasets/microblogPCU,microblogPCU,"Multivariate, Univariate, Sequential, Text","Classification, Causal-Discovery","Integer, Real",221579,20,2015
https://archive.ics.uci.edu/ml/datasets/Firm-Teacher_Clave-Direction_Classification,Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,10800,20,2015
https://archive.ics.uci.edu/ml/datasets/Dataset+for+Sensorless+Drive+Diagnosis,Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,58509,49,2015
https://archive.ics.uci.edu/ml/datasets/TV+News+Channel+Commercial+Detection+Dataset,TV News Channel Commercial Detection Dataset,Multivariate,"Classification, Clustering",Real,129685,12,2015
https://archive.ics.uci.edu/ml/datasets/Phishing+Websites,Phishing Websites,Classification,Integer,,2456,30,2015
https://archive.ics.uci.edu/ml/datasets/Greenhouse+Gas+Observing+Network,Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921,5232,2015
https://archive.ics.uci.edu/ml/datasets/Diabetic+Retinopathy+Debrecen+Data+Set,Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151,20,2014
https://archive.ics.uci.edu/ml/datasets/HIV-1+protease+cleavage,HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590,1,2015
https://archive.ics.uci.edu/ml/datasets/Sentiment+Labelled+Sentences,Sentiment Labelled Sentences,Text,Classification,,3000,,2015
https://archive.ics.uci.edu/ml/datasets/Online+News+Popularity,Online News Popularity,Multivariate,"Classification, Regression","Integer, Real",39797,61,2015
https://archive.ics.uci.edu/ml/datasets/Forest+type+mapping,Forest type mapping,Multivariate,Classification,,326,27,2015
https://archive.ics.uci.edu/ml/datasets/wiki4HE,wiki4HE,Multivariate,"Regression, Clustering, Causal-Discovery",,913,53,2015
https://archive.ics.uci.edu/ml/datasets/Online+Video+Characteristics+and+Transcoding+Time+Dataset,Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",168286,11,2015
https://archive.ics.uci.edu/ml/datasets/Chronic_Kidney_Disease,Chronic_Kidney_Disease,Multivariate,Classification,Real,400,25,2015
https://archive.ics.uci.edu/ml/datasets/Machine+Learning+based+ZZAlpha+Ltd.+Stock+Recommendations+2012-2014,Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,314080,0,2015
https://archive.ics.uci.edu/ml/datasets/Folio,Folio,Multivariate,"Classification, Clustering",,637,20,2015
https://archive.ics.uci.edu/ml/datasets/Taxi+Service+Trajectory+-+Prediction+Challenge%2C+ECML+PKDD+2015,"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory","Clustering, Causal-Discovery",Real,1710671,9,2015
https://archive.ics.uci.edu/ml/datasets/Cuff-Less+Blood+Pressure+Estimation,Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12000,3,2015
https://archive.ics.uci.edu/ml/datasets/Smartphone-Based+Recognition+of+Human+Activities+and+Postural+Transitions,Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929,561,2015
https://archive.ics.uci.edu/ml/datasets/Mice+Protein+Expression,Mice Protein Expression,Multivariate,"Classification, Clustering",Real,1080,82,2015
https://archive.ics.uci.edu/ml/datasets/UJIIndoorLoc-Mag,UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",40000,13,2015
https://archive.ics.uci.edu/ml/datasets/Heterogeneity+Activity+Recognition,Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257,16,2015
https://archive.ics.uci.edu/ml/datasets/Educational+Process+Mining+%28EPM%29%3A+A+Learning+Analytics+Data+Set,Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318,13,2015
https://archive.ics.uci.edu/ml/datasets/HEPMASS,HEPMASS,Multivariate,Classification,Real,10500000,28,2016
https://archive.ics.uci.edu/ml/datasets/Indoor+User+Movement+Prediction+from+RSS+data,Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,13197,4,2016
https://archive.ics.uci.edu/ml/datasets/Open+University+Learning+Analytics+dataset,Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,,,2015
https://archive.ics.uci.edu/ml/datasets/default+of+credit+card+clients,default of credit card clients,Multivariate,Classification,"Integer, Real",30000,24,2016
https://archive.ics.uci.edu/ml/datasets/Mesothelioma%E2%80%99s+disease+data+set+,Mesothelioma’s disease data set,Multivariate,Classification,Real,324,34,2016
https://archive.ics.uci.edu/ml/datasets/Online+Retail,Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",541909,8,2015
https://archive.ics.uci.edu/ml/datasets/SIFT10M,SIFT10M,Multivariate,Causal-Discovery,Integer,11164866,128,2016
https://archive.ics.uci.edu/ml/datasets/GPS+Trajectories,GPS Trajectories,Multivariate,"Classification, Regression",Real,163,15,2016
https://archive.ics.uci.edu/ml/datasets/Detect+Malacious+Executable%28AntiVirus%29,Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513,2016
https://archive.ics.uci.edu/ml/datasets/Occupancy+Detection+,Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560,7,2016
https://archive.ics.uci.edu/ml/datasets/Improved+Spiral+Test+Using+Digitized+Graphics+Tablet+for+Monitoring+Parkinson%E2%80%99s+Disease,Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinson’s Disease,Multivariate,"Classification, Regression, Clustering",Real,40,7,2016
https://archive.ics.uci.edu/ml/datasets/News+Aggregator,News Aggregator,Multivariate,"Classification, Clustering",,422937,5,2016
https://archive.ics.uci.edu/ml/datasets/Air+Quality,Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
https://archive.ics.uci.edu/ml/datasets/Twin+gas+sensor+arrays,Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory","Classification, Regression",Real,640,480000,2016
https://archive.ics.uci.edu/ml/datasets/Gas+sensors+for+home+activity+monitoring,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438,11,2016
https://archive.ics.uci.edu/ml/datasets/Facebook+Comment+Volume+Dataset,Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949,54,2016
https://archive.ics.uci.edu/ml/datasets/Smartphone+Dataset+for+Human+Activity+Recognition+%28HAR%29+in+Ambient+Assisted+Living+%28AAL%29,Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series,Classification,Real,5744,561,2016
https://archive.ics.uci.edu/ml/datasets/Polish+companies+bankruptcy+data,Polish companies bankruptcy data,Multivariate,Classification,Real,10503,64,2016
https://archive.ics.uci.edu/ml/datasets/Activity+Recognition+system+based+on+Multisensor+data+fusion+%28AReM%29,Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240,6,2016
https://archive.ics.uci.edu/ml/datasets/Dota2+Games+Results,Dota2 Games Results,Multivariate,Classification,,102944,116,2016
https://archive.ics.uci.edu/ml/datasets/Facebook+metrics,Facebook metrics,Multivariate,Regression,Integer,500,19,2016
https://archive.ics.uci.edu/ml/datasets/UbiqLog+%28smartphone+lifelogging%29,UbiqLog (smartphone lifelogging),Multivariate,Causal-Discovery,,9782222,,2016
https://archive.ics.uci.edu/ml/datasets/NIPS+Conference+Papers+1987-2015,NIPS Conference Papers 1987-2015,Text,Clustering,Integer,11463,5812,2016
https://archive.ics.uci.edu/ml/datasets/HTRU2,HTRU2,Multivariate,"Classification, Clustering",Real,17898,9,2017
https://archive.ics.uci.edu/ml/datasets/Drug+consumption+%28quantified%29,Drug consumption (quantified),Multivariate,Classification,Real,1885,32,2016
https://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction,Appliances energy prediction,"Multivariate, Time-Series",Regression,Real,19735,29,2017
https://archive.ics.uci.edu/ml/datasets/Miskolc+IIS+Hybrid+IPS,Miskolc IIS Hybrid IPS,Text,"Classification, Clustering, Causal-Discovery",Integer,1540,67,2016
https://archive.ics.uci.edu/ml/datasets/KDC-4007+dataset+Collection,KDC-4007 dataset Collection,"Multivariate, Text","Classification, Regression",Integer,4007,,2017
https://archive.ics.uci.edu/ml/datasets/Geo-Magnetic+field+and+WLAN+dataset+for+indoor+localisation+from+wristband+and+smartphone,Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",153540,25,2017
https://archive.ics.uci.edu/ml/datasets/DrivFace,DrivFace,Multivariate,"Classification, Regression, Clustering",Real,606,6400,2016
https://archive.ics.uci.edu/ml/datasets/Website+Phishing,Website Phishing,Multivariate,Classification,Integer,1353,10,2016
https://archive.ics.uci.edu/ml/datasets/YouTube+Spam+Collection,YouTube Spam Collection,Text,Classification,,1956,5,2017
https://archive.ics.uci.edu/ml/datasets/Beijing+PM2.5+Data,Beijing PM2.5 Data,"Multivariate, Time-Series",Regression,"Integer, Real",43824,13,2017
https://archive.ics.uci.edu/ml/datasets/Cargo+2000+Freight+Tracking+and+Tracing,Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential","Classification, Regression",Integer,3942,98,2016
https://archive.ics.uci.edu/ml/datasets/Cervical+cancer+%28Risk+Factors%29,Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36,2017
https://archive.ics.uci.edu/ml/datasets/Quality+Assessment+of+Digital+Colposcopies,Quality Assessment of Digital Colposcopies,Multivariate,Classification,Real,287,69,2017
https://archive.ics.uci.edu/ml/datasets/KASANDR,KASANDR,Multivariate,Causal-Discovery,Integer,17764280,2158859,2017
https://archive.ics.uci.edu/ml/datasets/FMA%3A+A+Dataset+For+Music+Analysis,FMA: A Dataset For Music Analysis,"Multivariate, Time-Series","Classification, Clustering",Real,106574,518,2017
https://archive.ics.uci.edu/ml/datasets/Air+quality,Air quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
https://archive.ics.uci.edu/ml/datasets/Epileptic+Seizure+Recognition,Epileptic Seizure Recognition,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",11500,179,2017
https://archive.ics.uci.edu/ml/datasets/Devanagari+Handwritten+Character+Dataset,Devanagari Handwritten Character Dataset,Classification,Integer,,92000,,2016
https://archive.ics.uci.edu/ml/datasets/Stock+portfolio+performance,Stock portfolio performance,Multivariate,Regression,Real,315,12,2016
https://archive.ics.uci.edu/ml/datasets/MoCap+Hand+Postures,MoCap Hand Postures,Multivariate,"Classification, Clustering","Integer, Real",78095,38,2016
https://archive.ics.uci.edu/ml/datasets/Early+biomarkers+of+Parkinson%92s+disease+based+on+natural+connected+speech,Early biomarkers of Parkinson�s disease based on natural connected speech,Multivariate,"Classification, Regression","Integer, Real",130,65,2017
https://archive.ics.uci.edu/ml/datasets/Data+for+Software+Engineering+Teamwork+Assessment+in+Education+Setting,Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74,102,2017
https://archive.ics.uci.edu/ml/datasets/PM2.5+Data+of+Five+Chinese+Cities,PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series",Regression,"Integer, Real",52854,86,2017
https://archive.ics.uci.edu/ml/datasets/Parkinson+Disease+Spiral+Drawings+Using+Digitized+Graphics+Tablet,Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,"Classification, Regression, Clustering",Integer,77,7,2017
https://archive.ics.uci.edu/ml/datasets/Sales_Transactions_Dataset_Weekly,Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811,53,2017
https://archive.ics.uci.edu/ml/datasets/Las+Vegas+Strip,Las Vegas Strip,"Classification, Regression",Integer,,504,20,2017
